"effect_id","status","location","implemented","notes"
"113","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Implemented: Spikes entry damage with grounded checks (Flying/Levitate immune) and Magic Guard immunity to hazard damage; uses stage-safe damage application and animation cues."
"114","missing",""
"115","implemented","perish-song validated by focused smoke"
"116","explicit","scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml; scripts/battle_weather_helpers/battle_weather_helpers.gml","yes","Sandstorm is routed through move-meta weather setup and the shared weather helper handles start messages, duration, end-of-turn chip damage, and immunity rules."
"117","implemented","endure validated by focused smoke"
"118","implemented","rollout validated by focused smoke"
"119","covered_by_stat_changes",""
"120","implemented","fury cutter validated by focused smoke"
"121","implemented","attract validated by combined smoke"
"122","implemented","return validated by combined smoke"
"123","implemented","present validated by combined smoke"
"124","implemented","frustration validated by combined smoke"
"125","implemented","safeguard validated by combined smoke"
"126","implemented","flame wheel thaw-on-use validated by combined smoke"
"127","implemented","magnitude validated by combined smoke"
"128","implemented","baton pass validated by combined smoke"
"129","implemented","pursuit validated by combined smoke"
"130","covered_by_stat_changes",""
"131","explicit","scripts/battle_actions/battle_actions.gml; scripts/battle_system/battle_system.gml","yes","Focused effect-131-155 smoke validated Sonic Boom exact 20 HP fixed damage."
"133","explicit","scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml","yes","Focused effect-131-155 smoke validated Morning Sun/Synthesis/Moonlight weather healing: 2/3 in sun and 1/4 in rain/hail/snow/sandstorm."
"136","explicit","scripts/PokemonIndexSystem/PokemonIndexSystem.gml; scripts/battle_system/battle_system.gml; scripts/battle_actions/battle_actions.gml","yes","Focused effect-131-155 smoke validated Hidden Power's IV-based type and power resolution, and the PokemonIndexSystem helper path now checks cleanly."
"137","explicit","scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml; scripts/battle_weather_helpers/battle_weather_helpers.gml","yes","Rain Dance is routed through move-meta weather setup and the shared weather helper applies rain state, duration, and messaging."
"138","explicit","scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml; scripts/battle_weather_helpers/battle_weather_helpers.gml","yes","Sunny Day is routed through move-meta weather setup and the shared weather helper applies sun state, duration, and messaging."
"139","covered_by_stat_changes",""
"140","covered_by_stat_changes",""
"141","covered_by_stat_changes",""
"143","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Focused effect-131-155 smoke validated Belly Drum half-HP cost, Attack +6, and failure requirements."
"144","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Focused effect-131-155 smoke validated Psych Up copying the target's active stat stages."
"145","explicit","scripts/battle_moves_impls/battle_moves_impls.gml; scripts/battle_actions/battle_actions.gml","yes","Focused effect-131-155 smoke validated Mirror Coat reflecting last special damage at double damage."
"146","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Focused effect-131-155 smoke validated Skull Bash Defense boost on the charging turn."
"147","explicit","scripts/battle_actions/battle_actions.gml; scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml","yes","Focused effect-131-155 smoke validated Twister hitting airborne semi-invulnerable targets for doubled damage and applying flinch meta."
"148","explicit","scripts/battle_actions/battle_actions.gml","yes","Focused effect-131-155 smoke validated Earthquake hitting Dig users through the semi-invulnerable guard with doubled damage."
"149","explicit","scripts/battle_moves_impls/battle_moves_impls.gml; scripts/battle_system/battle_system.gml","yes","Focused effect-131-155 smoke validated Future Sight/Doom Desire queuing delayed snapshot damage that lands on the current target slot."
"150","explicit","scripts/battle_actions/battle_actions.gml","yes","Focused effect-131-155 smoke validated Gust hitting airborne semi-invulnerable targets through the guard with doubled damage."
"151","explicit","scripts/battle_actions/battle_actions.gml; scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml","yes","Focused effect-131-155 smoke validated Stomp-style flinch meta and doubled damage against minimized targets."
"152","explicit","scripts/battle_moves_impls/battle_moves_impls.gml; scripts/battle_actions/battle_actions.gml","yes","Focused effect-131-155 smoke validated SolarBeam/Solar Blade sun charge skip and rain/hail/snow/sandstorm damage halving."
"153","explicit","scripts/battle_system/battle_system.gml; datafiles/data/csv/move_meta.csv","yes","Focused effect-131-155 smoke validated Thunder rain accuracy, sun accuracy penalty, and paralysis meta."
"154","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Focused effect-131-155 smoke validated Teleport exiting wild battles through the battle close path."
"155","explicit","scripts/battle_system/battle_system.gml; datafiles/data/csv/move_meta.csv","yes","Focused effect-131-155 smoke validated Beat Up multi-hit meta and party-count-based variable power fallback."
"156","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Semi-invulnerable charge support (Fly/Sky Attack) implemented in two-turn handler."
"157","covered_by_stat_changes",""
"159","explicit","scripts/battle_system/battle_system.gml; scripts/battle_moves_impls/battle_moves_impls.gml; scripts/test_trainer_battle_scenario/test_trainer_battle_scenario.gml","yes","Focused effect-159-176 smoke validated Fake Out first-turn-only use plus its flinch follow-through."
"160","explicit","scripts/battle_system/battle_system.gml; scripts/battle_impls/battle_impls.gml; scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml; scripts/battle_moves_impls/battle_moves_impls.gml; scripts/test_trainer_battle_scenario/test_trainer_battle_scenario.gml","yes","Focused effect-159-176 smoke validated Uproar's forced reuse, waking sleeping battlers, and blocking fresh sleep while active."
"161","covered_by_stat_changes",""
"162","explicit","scripts/battle_system/battle_system.gml; scripts/battle_actions/battle_actions.gml","yes","Super Fang is routed through the special damage path, where it deals damage equal to half of the target's current HP."
"163","missing",""
"165","explicit","scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml; scripts/battle_weather_helpers/battle_weather_helpers.gml","yes","Hail is routed through move-meta weather setup and the shared weather helper handles start messages, duration, end-of-turn chip damage, and immunity rules."
"166","explicit","datafiles/data/csv/move_meta.csv; scripts/PokemonDataLoaders/PokemonDataLoaders.gml; scripts/battle_moves_impls/battle_moves_impls.gml","yes","Torment is applied through the generic ailment/status pipeline, and move execution now blocks the afflicted battler from selecting the same move on consecutive turns."
"167","covered_by_stat_changes",""
"168","explicit","scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml; datafiles/data/csv/move_meta.csv; scripts/test_trainer_battle_scenario/test_trainer_battle_scenario.gml","yes","Focused effect-159-176 smoke validated Will-O-Wisp through the generic burn ailment pipeline."
"169","covered_by_stat_changes",""
"170","explicit","scripts/battle_impls/battle_impls.gml; scripts/battle_system/battle_system.gml; scripts/test_trainer_battle_scenario/test_trainer_battle_scenario.gml","yes","Focused runtime effect-159-176 smoke passed after routing move power through the live impl path, validating Facade doubling its base power while the user is statused."
"171","explicit","scripts/battle_actions/battle_actions.gml; scripts/battle_moves_impls/battle_moves_impls.gml; scripts/test_trainer_battle_scenario/test_trainer_battle_scenario.gml","yes","Focused effect-159-176 smoke validated Focus Punch failing after the user took damage earlier in the turn."
"172","explicit","scripts/battle_impls/battle_impls.gml; scripts/battle_moves_impls/battle_moves_impls.gml; scripts/test_trainer_battle_scenario/test_trainer_battle_scenario.gml","yes","Focused effect-159-176 smoke validated Smelling Salts doubling into paralysis and curing it after a successful hit."
"173","missing",""
"174","missing",""
"175","covered_by_stat_changes",""
"176","explicit","scripts/battle_system/battle_system.gml; scripts/battle_moves_impls/battle_moves_impls.gml; scripts/test_trainer_battle_scenario/test_trainer_battle_scenario.gml","yes","Focused effect-159-176 smoke validated Taunt applying a temporary status-move restriction on the target."
"177","missing",""
"178","missing",""
"179","missing",""
"180","missing",""
"181","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Assist is implemented directly in the move implementation path and selects a valid move known by an ally."
"182","explicit","datafiles/data/csv/move_meta.csv; scripts/PokemonDataLoaders/PokemonDataLoaders.gml; scripts/status_system/status_system.gml","yes","Ingrain is applied through the generic ailment/status pipeline, and the status system now roots the user and restores 1/16 max HP at end of turn."
"183","covered_by_stat_changes",""
"184","missing",""
"185","missing",""
"186","missing",""
"187","missing",""
"188","missing",""
"189","missing",""
"190","missing",""
"191","missing",""
"192","missing",""
"193","missing",""
"194","missing",""
"195","missing",""
"196","missing",""
"197","missing",""
"198","missing",""
"199","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)"
"200","missing",""
"201","missing",""
"202","missing",""
"203","missing",""
"204","missing",""
"205","covered_by_stat_changes",""
"206","covered_by_stat_changes",""
"207","covered_by_stat_changes",""
"208","missing",""
"209","covered_by_stat_changes",""
"210","missing",""
"211","missing",""
"212","covered_by_stat_changes",""
"213","covered_by_stat_changes",""
"214","missing",""
"215","missing",""
"216","missing",""
"217","missing",""
"218","missing",""
"219","covered_by_stat_changes",""
"220","missing",""
"221","missing",""
"222","missing",""
"223","missing",""
"224","missing",""
"225","missing",""
"226","missing",""
"227","missing",""
"228","missing",""
"229","missing",""
"230","covered_by_stat_changes",""
"231","missing",""
"232","missing",""
"233","explicit","datafiles/data/csv/moves.csv; scripts/bag_system/bag_system.gml; scripts/party_input/party_input.gml; scripts/battle_move_meta_helpers/battle_move_meta_helpers.gml"
"234","missing",""
"235","missing",""
"236","missing",""
"237","explicit","datafiles/data/csv/move_meta.csv; scripts/PokemonDataLoaders/PokemonDataLoaders.gml; scripts/battle_moves_impls/battle_moves_impls.gml","yes","Heal Block now maps through the generic ailment/status pipeline and move execution blocks affected battlers from using HP-recovery moves such as Recover, draining moves, and Rest while the status is active."
"238","missing",""
"239","missing",""
"240","missing",""
"241","missing",""
"242","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Me First is implemented directly in the move implementation path by replaying the target's next damaging move."
"243","explicit","scripts/battle_impls/battle_impls.gml; scripts/battle_moves_impls/battle_moves_impls.gml","yes","Copycat now resolves from recorded move-usage history and replays the latest valid non-meta move through the normal move pipeline."
"244","missing",""
"245","missing",""
"246","missing",""
"247","missing",""
"248","missing",""
"249","missing",""
"250","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Implemented: Toxic Spikes with grounded checks; Poison-type entrants absorb and clear layers; Steel types and Flying/Levitate are immune; status applied via status_system (damage ticks handled elsewhere)."
"251","missing",""
"252","missing",""
"253","missing",""
"254","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)"
"255","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)"
"256","missing",""
"257","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Semi-invulnerable Dig handling implemented in two-turn pipeline."
"258","missing",""
"259","covered_by_stat_changes",""
"260","missing",""
"261","missing",""
"262","missing",""
"263","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)"
"264","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Bounce/airborne semi-invulnerable coverage in two-turn handler."
"266","covered_by_stat_changes",""
"267","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Implemented: Stealth Rock entry damage uses truthy flag, product-of-types multiplier via BATTLE_TYPE_EFFICACY, allows true 0 damage on immunity, and respects Magic Guard."
"268","missing",""
"269","missing",""
"270","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)"
"271","missing",""
"272","covered_by_stat_changes",""
"273","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","New vanish phase for Shadow Force / Phantom Force with Protect bypass."
"274","missing",""
"275","missing",""
"276","missing",""
"277","covered_by_stat_changes",""
"278","covered_by_stat_changes",""
"279","missing",""
"280","explicit","scripts/battle_system/battle_system.gml (explicit handling)"
"281","missing",""
"282","missing",""
"283","missing",""
"284","missing",""
"285","covered_by_stat_changes",""
"286","missing",""
"287","missing",""
"288","missing",""
"289","missing",""
"290","missing",""
"291","covered_by_stat_changes",""
"292","missing",""
"293","missing","datafiles/data/csv/moves.csv","no","Synchronoise same-type targeting is present in moves.csv but not yet implemented."
 "280","explicit","scripts/status_system/status_system.gml (explicit handling)"
"294","missing",""
"295","missing",""
"296","covered_by_stat_changes",""
"297","covered_by_stat_changes",""
"298","missing",""
"299","missing",""
"300","missing",""
"301","missing",""
"302","missing",""
"303","missing",""
"304","missing",""
"305","missing",""
"306","missing",""
"307","missing",""
"308","missing",""
"309","covered_by_stat_changes",""
"310","missing",""
"311","missing",""
"312","explicit","scripts/battle_moves_impls/battle_moves_impls.gml","yes","Sky Drop carrier/target lock implemented with semi-invulnerable state tracking."
"313","covered_by_stat_changes",""
"314","missing",""
"315","missing",""
"316","missing",""
"317","covered_by_stat_changes",""
"318","missing",""
"319","missing",""
"320","missing",""
"321","missing",""
"322","covered_by_stat_changes",""
"323","covered_by_stat_changes",""
"324","missing",""
"325","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Battle meta handler covers effect_id 325 multi-target stat changes."
"326","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Battle meta handler covers effect_id 326 multi-target stat changes."
"327","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Battle meta handler covers effect_id 327 multi-target stat changes."
"328","covered_by_stat_changes",""
"329","covered_by_stat_changes",""
"330","missing",""
"331","covered_by_stat_changes",""
"332","missing",""
"333","missing",""
"334","missing",""
"335","covered_by_stat_changes",""
"336","missing",""
"337","missing",""
"338","missing",""
"339","missing",""
"340","explicit","scripts/battle_system/battle_system.gml (explicit handling)"
"341","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Implemented: Sticky Web applies -1 Speed on grounded switch-ins; Clear Body/White Smoke/Full Metal Body ignore; Contrary reverses to +1; Flying/Levitate immune."
"342","missing","datafiles/data/csv/moves.csv","no","Fell Stinger KO-triggered Attack +2 is present in moves.csv but not yet implemented."
"340","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Implemented: Rototiller targets only grounded Grass-type Pokemon via multi-target pipeline; applies intended stat raises (+1 Atk, +1 SpA) where applicable."
"343","missing",""
"344","covered_by_stat_changes",""
"345","missing",""
"346","missing",""
"347","covered_by_stat_changes",""
"348","missing",""
"349","missing",""
"350","missing","datafiles/data/csv/moves.csv","no","Crafty Shield protection against non-damaging moves is present in moves.csv but not yet implemented."
"351","explicit","scripts/PokemonDataLoaders/PokemonDataLoaders.gml (fallback mappings)","yes","Implemented: Flower Shield raises Defense by +1 for all Grass-type Pokemon on the field via multi-target stat-change pipeline."
"351","explicit","scripts/battle_system/battle_system.gml (explicit handling)"
"352","explicit","scripts/battle_system/battle_system.gml (explicit handling)"
 "340","explicit","scripts/status_system/status_system.gml (explicit handling)"
"352","explicit","scripts/battle_system/battle_system.gml (explicit handling)","yes","Implemented: Grassy Terrain heals grounded Pokemon 1/16 max HP each end of turn; halves EQ/Bulldoze/Magnitude; boosts Grass-type moves by 1.3× for grounded attackers; duration tick/clear handled."
"354","missing","datafiles/data/csv/moves.csv","no","Electrify changing the target's move type before it acts is present in moves.csv but not yet implemented."
"355","missing",""
"356","missing",""
"357","covered_by_stat_changes",""
"358","covered_by_stat_changes",""
